journal,year,n,N,label,lab,nd
actuators,2017,2,1467,"2017
(1467)",NA,<1/month
actuators,2018,6,2453,"2018
(2453)",NA,<1/month
actuators,2019,5,4190,"2019
(4190)",NA,<1/month
actuators,2020,6,6706,"2020
(6706)",NA,<1/month
actuators,2021,14,10480,"2021
(10480)",NA,>1/month
actuators,2022,60,37465,"2022
(37465)",actuators 60,>1/week
aerospace,2017,4,1467,"2017
(1467)",NA,<1/month
aerospace,2018,9,2453,"2018
(2453)",NA,<1/month
aerospace,2019,10,4190,"2019
(4190)",NA,<1/month
aerospace,2020,16,6706,"2020
(6706)",NA,>1/month
aerospace,2021,18,10480,"2021
(10480)",NA,>1/month
aerospace,2022,84,37465,"2022
(37465)",aerospace 84,>1/week
agriculture,2017,6,1467,"2017
(1467)",NA,<1/month
agriculture,2018,11,2453,"2018
(2453)",NA,<1/month
agriculture,2019,12,4190,"2019
(4190)",NA,<1/month
agriculture,2020,18,6706,"2020
(6706)",NA,>1/month
agriculture,2021,55,10480,"2021
(10480)",NA,>1/week
agriculture,2022,190,37465,"2022
(37465)",agriculture 190,>1/week
agronomy,2017,2,1467,"2017
(1467)",NA,<1/month
agronomy,2018,13,2453,"2018
(2453)",NA,>1/month
agronomy,2019,31,4190,"2019
(4190)",NA,>1/month
agronomy,2020,83,6706,"2020
(6706)",NA,>1/week
agronomy,2021,131,10480,"2021
(10480)",NA,>1/week
agronomy,2022,417,37465,"2022
(37465)",agronomy 417,>1/day
animals,2017,1,1467,"2017
(1467)",NA,<1/month
animals,2018,9,2453,"2018
(2453)",NA,<1/month
animals,2019,45,4190,"2019
(4190)",NA,>1/month
animals,2020,66,6706,"2020
(6706)",NA,>1/week
animals,2021,168,10480,"2021
(10480)",NA,>1/week
animals,2022,496,37465,"2022
(37465)",animals 496,>1/day
antibiotics,2017,3,1467,"2017
(1467)",NA,<1/month
antibiotics,2018,4,2453,"2018
(2453)",NA,<1/month
antibiotics,2019,18,4190,"2019
(4190)",NA,>1/month
antibiotics,2020,58,6706,"2020
(6706)",NA,>1/week
antibiotics,2021,89,10480,"2021
(10480)",NA,>1/week
antibiotics,2022,312,37465,"2022
(37465)",antibiotics 312,>1/week
antioxidants,2017,13,1467,"2017
(1467)",NA,>1/month
antioxidants,2018,14,2453,"2018
(2453)",NA,>1/month
antioxidants,2019,36,4190,"2019
(4190)",NA,>1/month
antioxidants,2020,67,6706,"2020
(6706)",NA,>1/week
antioxidants,2021,102,10480,"2021
(10480)",NA,>1/week
antioxidants,2022,274,37465,"2022
(37465)",antioxidants 274,>1/week
applsci,2017,60,1467,"2017
(1467)",NA,>1/week
applsci,2018,113,2453,"2018
(2453)",NA,>1/week
applsci,2019,211,4190,"2019
(4190)",NA,>1/week
applsci,2020,357,6706,"2020
(6706)",NA,>1/week
applsci,2021,545,10480,"2021
(10480)",NA,>1/day
applsci,2022,2093,37465,"2022
(37465)",applsci 2093,>5/day
atmosphere,2017,16,1467,"2017
(1467)",NA,>1/month
atmosphere,2018,29,2453,"2018
(2453)",NA,>1/month
atmosphere,2019,59,4190,"2019
(4190)",NA,>1/week
atmosphere,2020,90,6706,"2020
(6706)",NA,>1/week
atmosphere,2021,89,10480,"2021
(10480)",NA,>1/week
atmosphere,2022,350,37465,"2022
(37465)",atmosphere 350,>1/week
axioms,2017,4,1467,"2017
(1467)",NA,<1/month
axioms,2018,5,2453,"2018
(2453)",NA,<1/month
axioms,2019,10,4190,"2019
(4190)",NA,<1/month
axioms,2020,8,6706,"2020
(6706)",NA,<1/month
axioms,2021,20,10480,"2021
(10480)",NA,>1/month
axioms,2022,115,37465,"2022
(37465)",axioms 115,>1/week
batteries,2017,1,1467,"2017
(1467)",NA,<1/month
batteries,2018,4,2453,"2018
(2453)",NA,<1/month
batteries,2019,3,4190,"2019
(4190)",NA,<1/month
batteries,2020,4,6706,"2020
(6706)",NA,<1/month
batteries,2021,4,10480,"2021
(10480)",NA,<1/month
batteries,2022,43,37465,"2022
(37465)",batteries 43,>1/month
behavsci,2017,5,1467,"2017
(1467)",NA,<1/month
behavsci,2018,3,2453,"2018
(2453)",NA,<1/month
behavsci,2019,5,4190,"2019
(4190)",NA,<1/month
behavsci,2020,3,6706,"2020
(6706)",NA,<1/month
behavsci,2021,4,10480,"2021
(10480)",NA,<1/month
behavsci,2022,31,37465,"2022
(37465)",behavsci 31,>1/month
bioengineering,2017,8,1467,"2017
(1467)",NA,<1/month
bioengineering,2018,10,2453,"2018
(2453)",NA,<1/month
bioengineering,2019,12,4190,"2019
(4190)",NA,<1/month
bioengineering,2020,13,6706,"2020
(6706)",NA,>1/month
bioengineering,2021,8,10480,"2021
(10480)",NA,<1/month
bioengineering,2022,174,37465,"2022
(37465)",bioengineering 174,>1/week
biology,2017,1,1467,"2017
(1467)",NA,<1/month
biology,2018,3,2453,"2018
(2453)",NA,<1/month
biology,2019,3,4190,"2019
(4190)",NA,<1/month
biology,2020,14,6706,"2020
(6706)",NA,>1/month
biology,2021,39,10480,"2021
(10480)",NA,>1/month
biology,2022,191,37465,"2022
(37465)",biology 191,>1/week
biomedicines,2017,6,1467,"2017
(1467)",NA,<1/month
biomedicines,2018,11,2453,"2018
(2453)",NA,<1/month
biomedicines,2019,5,4190,"2019
(4190)",NA,<1/month
biomedicines,2020,32,6706,"2020
(6706)",NA,>1/month
biomedicines,2021,68,10480,"2021
(10480)",NA,>1/week
biomedicines,2022,740,37465,"2022
(37465)",biomedicines 740,>1/day
biomimetics,2017,2,1467,"2017
(1467)",NA,<1/month
biomimetics,2018,5,2453,"2018
(2453)",NA,<1/month
biomimetics,2019,4,4190,"2019
(4190)",NA,<1/month
biomimetics,2020,3,6706,"2020
(6706)",NA,<1/month
biomimetics,2021,2,10480,"2021
(10480)",NA,<1/month
biomimetics,2022,45,37465,"2022
(37465)",biomimetics 45,>1/month
biomolecules,2017,2,1467,"2017
(1467)",NA,<1/month
biomolecules,2018,10,2453,"2018
(2453)",NA,<1/month
biomolecules,2019,36,4190,"2019
(4190)",NA,>1/month
biomolecules,2020,86,6706,"2020
(6706)",NA,>1/week
biomolecules,2021,97,10480,"2021
(10480)",NA,>1/week
biomolecules,2022,376,37465,"2022
(37465)",biomolecules 376,>1/day
biosensors,2017,6,1467,"2017
(1467)",NA,<1/month
biosensors,2018,14,2453,"2018
(2453)",NA,>1/month
biosensors,2019,7,4190,"2019
(4190)",NA,<1/month
biosensors,2020,4,6706,"2020
(6706)",NA,<1/month
biosensors,2021,19,10480,"2021
(10480)",NA,>1/month
biosensors,2022,194,37465,"2022
(37465)",biosensors 194,>1/week
brainsci,2017,15,1467,"2017
(1467)",NA,>1/month
brainsci,2018,9,2453,"2018
(2453)",NA,<1/month
brainsci,2019,22,4190,"2019
(4190)",NA,>1/month
brainsci,2020,51,6706,"2020
(6706)",NA,>1/month
brainsci,2021,103,10480,"2021
(10480)",NA,>1/week
brainsci,2022,172,37465,"2022
(37465)",brainsci 172,>1/week
buildings,2017,9,1467,"2017
(1467)",NA,<1/month
buildings,2018,8,2453,"2018
(2453)",NA,<1/month
buildings,2019,10,4190,"2019
(4190)",NA,<1/month
buildings,2020,7,6706,"2020
(6706)",NA,<1/month
buildings,2021,21,10480,"2021
(10480)",NA,>1/month
buildings,2022,199,37465,"2022
(37465)",buildings 199,>1/week
cancers,2017,15,1467,"2017
(1467)",NA,>1/month
cancers,2018,31,2453,"2018
(2453)",NA,>1/month
cancers,2019,79,4190,"2019
(4190)",NA,>1/week
cancers,2020,147,6706,"2020
(6706)",NA,>1/week
cancers,2021,356,10480,"2021
(10480)",NA,>1/week
cancers,2022,767,37465,"2022
(37465)",cancers 767,>1/day
catalysts,2017,28,1467,"2017
(1467)",NA,>1/month
catalysts,2018,38,2453,"2018
(2453)",NA,>1/month
catalysts,2019,47,4190,"2019
(4190)",NA,>1/month
catalysts,2020,85,6706,"2020
(6706)",NA,>1/week
catalysts,2021,95,10480,"2021
(10480)",NA,>1/week
catalysts,2022,350,37465,"2022
(37465)",catalysts 350,>1/week
cells,2017,2,1467,"2017
(1467)",NA,<1/month
cells,2018,14,2453,"2018
(2453)",NA,>1/month
cells,2019,94,4190,"2019
(4190)",NA,>1/week
cells,2020,150,6706,"2020
(6706)",NA,>1/week
cells,2021,195,10480,"2021
(10480)",NA,>1/week
cells,2022,604,37465,"2022
(37465)",cells 604,>1/day
chemosensors,2017,1,1467,"2017
(1467)",NA,<1/month
chemosensors,2018,4,2453,"2018
(2453)",NA,<1/month
chemosensors,2019,4,4190,"2019
(4190)",NA,<1/month
chemosensors,2020,3,6706,"2020
(6706)",NA,<1/month
chemosensors,2021,7,10480,"2021
(10480)",NA,<1/month
chemosensors,2022,82,37465,"2022
(37465)",chemosensors 82,>1/week
children,2017,6,1467,"2017
(1467)",NA,<1/month
children,2018,6,2453,"2018
(2453)",NA,<1/month
children,2019,9,4190,"2019
(4190)",NA,<1/month
children,2020,13,6706,"2020
(6706)",NA,>1/month
children,2021,50,10480,"2021
(10480)",NA,>1/month
children,2022,184,37465,"2022
(37465)",children 184,>1/week
cimb,2017,0,1467,"2017
(1467)",NA,<1/month
cimb,2018,0,2453,"2018
(2453)",NA,<1/month
cimb,2019,0,4190,"2019
(4190)",NA,<1/month
cimb,2020,0,6706,"2020
(6706)",NA,<1/month
cimb,2021,0,10480,"2021
(10480)",NA,<1/month
cimb,2022,33,37465,"2022
(37465)",cimb 33,>1/month
coatings,2017,22,1467,"2017
(1467)",NA,>1/month
coatings,2018,29,2453,"2018
(2453)",NA,>1/month
coatings,2019,16,4190,"2019
(4190)",NA,>1/month
coatings,2020,59,6706,"2020
(6706)",NA,>1/week
coatings,2021,77,10480,"2021
(10480)",NA,>1/week
coatings,2022,366,37465,"2022
(37465)",coatings 366,>1/day
crystals,2017,32,1467,"2017
(1467)",NA,>1/month
crystals,2018,28,2453,"2018
(2453)",NA,>1/month
crystals,2019,39,4190,"2019
(4190)",NA,>1/month
crystals,2020,78,6706,"2020
(6706)",NA,>1/week
crystals,2021,92,10480,"2021
(10480)",NA,>1/week
crystals,2022,334,37465,"2022
(37465)",crystals 334,>1/week
curroncol,2017,0,1467,"2017
(1467)",NA,<1/month
curroncol,2018,0,2453,"2018
(2453)",NA,<1/month
curroncol,2019,0,4190,"2019
(4190)",NA,<1/month
curroncol,2020,0,6706,"2020
(6706)",NA,<1/month
curroncol,2021,7,10480,"2021
(10480)",NA,<1/month
curroncol,2022,49,37465,"2022
(37465)",curroncol 49,>1/month
diagnostics,2017,4,1467,"2017
(1467)",NA,<1/month
diagnostics,2018,7,2453,"2018
(2453)",NA,<1/month
diagnostics,2019,10,4190,"2019
(4190)",NA,<1/month
diagnostics,2020,53,6706,"2020
(6706)",NA,>1/week
diagnostics,2021,100,10480,"2021
(10480)",NA,>1/week
diagnostics,2022,450,37465,"2022
(37465)",diagnostics 450,>1/day
diversity,2017,5,1467,"2017
(1467)",NA,<1/month
diversity,2018,12,2453,"2018
(2453)",NA,<1/month
diversity,2019,14,4190,"2019
(4190)",NA,>1/month
diversity,2020,31,6706,"2020
(6706)",NA,>1/month
diversity,2021,43,10480,"2021
(10480)",NA,>1/month
diversity,2022,169,37465,"2022
(37465)",diversity 169,>1/week
drones,2017,0,1467,"2017
(1467)",NA,<1/month
drones,2018,2,2453,"2018
(2453)",NA,<1/month
drones,2019,3,4190,"2019
(4190)",NA,<1/month
drones,2020,2,6706,"2020
(6706)",NA,<1/month
drones,2021,3,10480,"2021
(10480)",NA,<1/month
drones,2022,38,37465,"2022
(37465)",drones 38,>1/month
electronics,2017,3,1467,"2017
(1467)",NA,<1/month
electronics,2018,13,2453,"2018
(2453)",NA,>1/month
electronics,2019,43,4190,"2019
(4190)",NA,>1/month
electronics,2020,97,6706,"2020
(6706)",NA,>1/week
electronics,2021,154,10480,"2021
(10480)",NA,>1/week
electronics,2022,629,37465,"2022
(37465)",electronics 629,>1/day
energies,2017,67,1467,"2017
(1467)",NA,>1/week
energies,2018,81,2453,"2018
(2453)",NA,>1/week
energies,2019,185,4190,"2019
(4190)",NA,>1/week
energies,2020,287,6706,"2020
(6706)",NA,>1/week
energies,2021,456,10480,"2021
(10480)",NA,>1/day
energies,2022,1424,37465,"2022
(37465)",energies 1424,>1/day
entropy,2017,35,1467,"2017
(1467)",NA,>1/month
entropy,2018,49,2453,"2018
(2453)",NA,>1/month
entropy,2019,74,4190,"2019
(4190)",NA,>1/week
entropy,2020,79,6706,"2020
(6706)",NA,>1/week
entropy,2021,103,10480,"2021
(10480)",NA,>1/week
entropy,2022,267,37465,"2022
(37465)",entropy 267,>1/week
fermentation,2017,3,1467,"2017
(1467)",NA,<1/month
fermentation,2018,9,2453,"2018
(2453)",NA,<1/month
fermentation,2019,10,4190,"2019
(4190)",NA,<1/month
fermentation,2020,11,6706,"2020
(6706)",NA,<1/month
fermentation,2021,15,10480,"2021
(10480)",NA,>1/month
fermentation,2022,101,37465,"2022
(37465)",fermentation 101,>1/week
fire,2017,0,1467,"2017
(1467)",NA,<1/month
fire,2018,0,2453,"2018
(2453)",NA,<1/month
fire,2019,1,4190,"2019
(4190)",NA,<1/month
fire,2020,1,6706,"2020
(6706)",NA,<1/month
fire,2021,3,10480,"2021
(10480)",NA,<1/month
fire,2022,24,37465,"2022
(37465)",fire 24,>1/month
fishes,2017,1,1467,"2017
(1467)",NA,<1/month
fishes,2018,0,2453,"2018
(2453)",NA,<1/month
fishes,2019,4,4190,"2019
(4190)",NA,<1/month
fishes,2020,1,6706,"2020
(6706)",NA,<1/month
fishes,2021,1,10480,"2021
(10480)",NA,<1/month
fishes,2022,41,37465,"2022
(37465)",fishes 41,>1/month
foods,2017,6,1467,"2017
(1467)",NA,<1/month
foods,2018,15,2453,"2018
(2453)",NA,>1/month
foods,2019,34,4190,"2019
(4190)",NA,>1/month
foods,2020,90,6706,"2020
(6706)",NA,>1/week
foods,2021,178,10480,"2021
(10480)",NA,>1/week
foods,2022,477,37465,"2022
(37465)",foods 477,>1/day
forests,2017,24,1467,"2017
(1467)",NA,>1/month
forests,2018,38,2453,"2018
(2453)",NA,>1/month
forests,2019,60,4190,"2019
(4190)",NA,>1/week
forests,2020,57,6706,"2020
(6706)",NA,>1/week
forests,2021,100,10480,"2021
(10480)",NA,>1/week
forests,2022,226,37465,"2022
(37465)",forests 226,>1/week
fractalfract,2017,2,1467,"2017
(1467)",NA,<1/month
fractalfract,2018,1,2453,"2018
(2453)",NA,<1/month
fractalfract,2019,1,4190,"2019
(4190)",NA,<1/month
fractalfract,2020,4,6706,"2020
(6706)",NA,<1/month
fractalfract,2021,9,10480,"2021
(10480)",NA,<1/month
fractalfract,2022,77,37465,"2022
(37465)",fractalfract 77,>1/week
gels,2017,8,1467,"2017
(1467)",NA,<1/month
gels,2018,4,2453,"2018
(2453)",NA,<1/month
gels,2019,4,4190,"2019
(4190)",NA,<1/month
gels,2020,3,6706,"2020
(6706)",NA,<1/month
gels,2021,16,10480,"2021
(10480)",NA,>1/month
gels,2022,103,37465,"2022
(37465)",gels 103,>1/week
genes,2017,24,1467,"2017
(1467)",NA,>1/month
genes,2018,44,2453,"2018
(2453)",NA,>1/month
genes,2019,56,4190,"2019
(4190)",NA,>1/week
genes,2020,79,6706,"2020
(6706)",NA,>1/week
genes,2021,118,10480,"2021
(10480)",NA,>1/week
genes,2022,293,37465,"2022
(37465)",genes 293,>1/week
healthcare,2017,4,1467,"2017
(1467)",NA,<1/month
healthcare,2018,15,2453,"2018
(2453)",NA,>1/month
healthcare,2019,8,4190,"2019
(4190)",NA,<1/month
healthcare,2020,8,6706,"2020
(6706)",NA,<1/month
healthcare,2021,60,10480,"2021
(10480)",NA,>1/week
healthcare,2022,152,37465,"2022
(37465)",healthcare 152,>1/week
horticulturae,2017,1,1467,"2017
(1467)",NA,<1/month
horticulturae,2018,7,2453,"2018
(2453)",NA,<1/month
horticulturae,2019,3,4190,"2019
(4190)",NA,<1/month
horticulturae,2020,1,6706,"2020
(6706)",NA,<1/month
horticulturae,2021,15,10480,"2021
(10480)",NA,>1/month
horticulturae,2022,164,37465,"2022
(37465)",horticulturae 164,>1/week
ijerph,2017,63,1467,"2017
(1467)",NA,>1/week
ijerph,2018,110,2453,"2018
(2453)",NA,>1/week
ijerph,2019,172,4190,"2019
(4190)",NA,>1/week
ijerph,2020,308,6706,"2020
(6706)",NA,>1/week
ijerph,2021,486,10480,"2021
(10480)",NA,>1/day
ijerph,2022,1367,37465,"2022
(37465)",ijerph 1367,>1/day
ijgi,2017,15,1467,"2017
(1467)",NA,>1/month
ijgi,2018,23,2453,"2018
(2453)",NA,>1/month
ijgi,2019,21,4190,"2019
(4190)",NA,>1/month
ijgi,2020,35,6706,"2020
(6706)",NA,>1/month
ijgi,2021,64,10480,"2021
(10480)",NA,>1/week
ijgi,2022,16,37465,"2022
(37465)",ijgi 16,>1/month
ijms,2017,151,1467,"2017
(1467)",NA,>1/week
ijms,2018,221,2453,"2018
(2453)",NA,>1/week
ijms,2019,367,4190,"2019
(4190)",NA,>1/day
ijms,2020,590,6706,"2020
(6706)",NA,>1/day
ijms,2021,820,10480,"2021
(10480)",NA,>1/day
ijms,2022,2986,37465,"2022
(37465)",ijms 2986,>5/day
inorganics,2017,11,1467,"2017
(1467)",NA,<1/month
inorganics,2018,9,2453,"2018
(2453)",NA,<1/month
inorganics,2019,11,4190,"2019
(4190)",NA,<1/month
inorganics,2020,6,6706,"2020
(6706)",NA,<1/month
inorganics,2021,0,10480,"2021
(10480)",NA,<1/month
